File Path,Classification,Truth Level,Size Bytes
".ai-brain/00-index.md","CORE_GOVERNANCE","PRIMARY_SOURCE_OF_TRUTH",19662
".ai-brain/01-architecture.md","ARCHITECTURE_DOC","SECONDARY_SUPPORTING_DOC",14347
".ai-brain/01-current-state.md","CORE_GOVERNANCE","PRIMARY_SOURCE_OF_TRUTH",9251
".ai-brain/02-database.md","UNKNOWN","SECONDARY_SUPPORTING_DOC",18658
".ai-brain/02-global-readiness-roadmap.md","CORE_GOVERNANCE","SECONDARY_SUPPORTING_DOC",11434
".ai-brain/03-auth-permissions.md","UNKNOWN","SECONDARY_SUPPORTING_DOC",14732
".ai-brain/03-quality-and-testing.md","QUALITY_TESTING","SECONDARY_SUPPORTING_DOC",6723
".ai-brain/04-api-and-tenant-isolation.md","API_TENANT_ISOLATION","SECONDARY_SUPPORTING_DOC",5673
".ai-brain/04-api-routes.md","API_TENANT_ISOLATION","SECONDARY_SUPPORTING_DOC",18122
".ai-brain/05-business-logic.md","UNKNOWN","SECONDARY_SUPPORTING_DOC",23740
".ai-brain/05-financial-governance.md","FINANCIAL_GOVERNANCE","SECONDARY_SUPPORTING_DOC",6475
".ai-brain/06-project-rules.md","UNKNOWN","SECONDARY_SUPPORTING_DOC",9150
".ai-brain/06-security-and-compliance.md","SECURITY_COMPLIANCE","SECONDARY_SUPPORTING_DOC",7696
".ai-brain/07-all-api-endpoints.md","API_TENANT_ISOLATION","SECONDARY_SUPPORTING_DOC",178303
".ai-brain/07-saudi-compliance.md","SAUDI_COMPLIANCE","SECONDARY_SUPPORTING_DOC",5691
".ai-brain/08-database-models-full.md","UNKNOWN","SECONDARY_SUPPORTING_DOC",597546
".ai-brain/08-performance-and-scalability.md","PERFORMANCE_SCALABILITY","SECONDARY_SUPPORTING_DOC",5644
".ai-brain/09-core-libraries.md","UNKNOWN","SECONDARY_SUPPORTING_DOC",96670
".ai-brain/09-devops-backup-rollback-dr.md","DEVOPS_DR","SECONDARY_SUPPORTING_DOC",5291
".ai-brain/10-frontend-pages.md","UNKNOWN","SECONDARY_SUPPORTING_DOC",41072
".ai-brain/10-product-ux-documentation.md","PRODUCT_UX_DOCS","SECONDARY_SUPPORTING_DOC",5180
".ai-brain/11-components.md","UNKNOWN","SECONDARY_SUPPORTING_DOC",3509
".ai-brain/11-global-erp-comparison.md","GLOBAL_COMPARISON","SECONDARY_SUPPORTING_DOC",5953
".ai-brain/12-customer-pilot-uat.md","CUSTOMER_PILOT","SECONDARY_SUPPORTING_DOC",6205
".ai-brain/12-dependencies.md","UNKNOWN","SECONDARY_SUPPORTING_DOC",5718
